year,registry_group_number,registry_group_name,region,prov_terr,district,pop_on_reserve_crown_land_men,pop_on_reserve_crown_land_women,pop_on_reserve_crown_land_total,pop_off_reserve_men,pop_off_reserve_women,pop_off_reserve_total,pop_total_men,pop_total_women,pop_total_total
2022,1,Abegweit,Atlantic,Prince Edward Island,NA,118,115,233,75,94,169,193,209,402
2022,2,Lennox Island,Atlantic,Prince Edward Island,NA,216,207,423,300,352,652,516,559,1075
2022,3,Elsipogtog First Nation,Atlantic,New Brunswick,NA,1413,1361,2774,354,434,788,1767,1795,3562
2022,4,Buctouche MicMac,Atlantic,New Brunswick,NA,48,32,80,21,27,48,69,59,128
2022,5,Esgenoopetitj First Nation,Atlantic,New Brunswick,NA,682,697,1379,259,310,569,941,1007,1948
2022,6,Madawaska Maliseet First Nation,Atlantic,New Brunswick,NA,79,80,159,108,110,218,187,190,377
2022,7,Natoaganeg,Atlantic,New Brunswick,NA,300,292,592,249,253,502,549,545,1094
2022,8,Eel River Bar First Nation,Atlantic,New Brunswick,NA,171,186,357,217,250,467,388,436,824
2022,9,Fort Folly,Atlantic,New Brunswick,NA,11,24,35,52,53,105,63,77,140
2022,10,Indian Island,Atlantic,New Brunswick,NA,54,61,115,43,58,101,97,119,216
2022,11,Bilijk,Atlantic,New Brunswick,NA,347,392,739,158,172,330,505,564,1069
2022,12,Oromocto First Nation,Atlantic,New Brunswick,NA,181,171,352,235,282,517,416,453,869
2022,13,Pabineau,Atlantic,New Brunswick,NA,57,48,105,129,129,258,186,177,363
2022,14,Metepenagiag Mi'kmaq Nation,Atlantic,New Brunswick,NA,234,230,464,109,142,251,343,372,715
2022,15,Saint Mary's,Atlantic,New Brunswick,NA,475,490,965,561,639,1200,1036,1129,2165
2022,16,Tobique,Atlantic,New Brunswick,NA,796,803,1599,481,534,1015,1277,1337,2614
2022,17,Woodstock,Atlantic,New Brunswick,NA,173,126,299,392,497,889,565,623,1188
2022,18,Acadia,Atlantic,Nova Scotia,NA,115,127,242,816,838,1654,931,965,1896
2022,19,Paqtnkek Mi'kmaw Nation,Atlantic,Nova Scotia,NA,205,252,457,66,89,155,271,341,612
2022,20,Annapolis Valley,Atlantic,Nova Scotia,NA,65,56,121,81,116,197,146,172,318
2022,21,Bear River,Atlantic,Nova Scotia,NA,50,67,117,125,136,261,175,203,378
2022,22,Potlotek First Nation,Atlantic,Nova Scotia,NA,343,323,666,75,87,162,418,410,828
2022,23,Eskasoni,Atlantic,Nova Scotia,NA,2008,2043,4051,312,361,673,2320,2404,4724
2022,24,Pictou Landing,Atlantic,Nova Scotia,NA,255,269,524,85,79,164,340,348,688
2022,25,Sipekne'katik,Atlantic,Nova Scotia,NA,668,764,1432,726,826,1552,1394,1590,2984
2022,26,Membertou,Atlantic,Nova Scotia,NA,509,493,1002,314,303,617,823,796,1619
2022,27,Millbrook,Atlantic,Nova Scotia,NA,488,489,977,619,652,1271,1107,1141,2248
2022,28,Wagmatcook,Atlantic,Nova Scotia,NA,360,366,726,87,111,198,447,477,924
2022,29,We'koqma'q First Nation,Atlantic,Nova Scotia,NA,491,511,1002,37,49,86,528,560,1088
2022,30,Glooscap First Nation,Atlantic,Nova Scotia,NA,35,66,101,157,163,320,192,229,421
2022,32,Mushuau Innu First Nation,Atlantic,Newfoundland and Labrador,NA,528,562,1090,37,50,87,565,612,1177
2022,33,Sheshatshiu Innu First Nation,Atlantic,Newfoundland and Labrador,NA,874,869,1743,74,122,196,948,991,1939
2022,34,Qalipu Mi'kmaq First Nation,Atlantic,Newfoundland and Labrador,NA,X,X,16,X,X,25072,12408,12680,25088
2022,47,Miawpukek,Atlantic,Newfoundland and Labrador,NA,445,386,831,1128,1131,2259,1573,1517,3090
2022,50,Nation Huronne Wendat,Quebec,Quebec,Quebec District,727,757,1484,1568,1719,3287,2295,2476,4771
2022,51,Listuguj Mi'gmaq Government,Quebec,Quebec,Quebec District,1072,1046,2118,997,1186,2183,2069,2232,4301
2022,52,Micmacs of Gesgapegiag,Quebec,Quebec,Quebec District,387,353,740,422,488,910,809,841,1650
2022,53,La Nation Micmac de Gespeg,Quebec,Quebec,Quebec District,0,0,0,796,852,1648,796,852,1648
2022,54,PremiËre Nation Wolastoqiyik (MalÈcite) Wahsipekuk,Quebec,Quebec,Quebec District,X,X,X,X,X,X,858,875,1733
2022,55,Conseil de la PremiËre Nation Abitibiwinni,Quebec,Quebec,Quebec District,285,332,617,241,244,485,526,576,1102
2022,56,Waswanipi,Quebec,Quebec,Quebec District,960,866,1826,223,281,504,1183,1147,2330
2022,57,Eastmain,Quebec,Quebec,Quebec District,465,437,902,21,30,51,486,467,953
2022,58,Cree Nation of Chisasibi,Quebec,Quebec,Quebec District,2340,2313,4653,78,102,180,2418,2415,4833
2022,59,Cree Nation of Nemaska,Quebec,Quebec,Quebec District,X,X,826,X,X,24,425,425,850
2022,60,Cree Nation of Wemindji,Quebec,Quebec,Quebec District,742,777,1519,62,80,142,804,857,1661
